name,rank,count,prop100k,cum_prop100k,pctwhite,pctblack,pctapi,pctaian,pct2prace,pcthispanic
MALDONADO,316,88016,32.63,27665.31,5.53,0.51,0.33,0.27,0.42,92.95
FLEMING,317,87949,32.60,27697.91,74.59,21.51,0.44,0.48,1.55,1.43
VEGA,318,87728,32.52,27730.43,6.46,0.60,0.65,0.29,0.45,91.54
SUTTON,319,87373,32.39,27762.82,75.08,20.88,0.37,0.64,1.61,1.41
COHEN,320,87226,32.33,27795.15,90.63,5.51,0.42,0.11,1.23,2.11
JENNINGS,321,87038,32.26,27827.42,73.38,22.36,0.54,0.56,1.62,1.53
PARKS,322,86346,32.01,27859.42,71.48,24.25,0.53,0.57,1.80,1.37
MCDANIEL,323,86317,32.00,27891.42,78.48,17.53,0.30,0.59,1.59,1.50
WATTS,324,86228,31.96,27923.39,70.81,24.96,0.35,0.73,1.66,1.48
BARKER,325,85221,31.59,27954.98,88.54,7.24,0.48,0.63,1.42,1.69
NORRIS,326,85212,31.59,27986.57,82.01,13.81,0.37,0.93,1.53,1.35
VAUGHN,327,85037,31.52,28018.09,73.63,22.02,0.33,0.71,1.74,1.57
VAZQUEZ,328,84926,31.48,28049.57,4.60,0.34,0.19,0.09,0.27,94.52
HOLT,329,84710,31.40,28080.97,81.19,14.44,0.52,0.78,1.69,1.38
SCHWARTZ,330,84699,31.40,28112.37,96.77,0.40,0.46,0.16,1.00,1.21
STEELE,331,84353,31.27,28143.64,80.39,14.94,0.41,1.08,1.47,1.71
BENSON,332,84233,31.22,28174.86,79.98,15.65,0.61,0.74,1.48,1.55
NEAL,333,83849,31.08,28205.95,64.69,30.91,0.42,0.69,1.84,1.43
DOMINGUEZ,334,83731,31.04,28236.99,6.16,0.43,1.15,0.37,0.46,91.43
HORTON,335,83523,30.96,28267.95,72.15,23.50,0.40,0.69,1.73,1.53
TERRY,336,83437,30.93,28298.88,68.82,26.63,0.41,0.73,1.73,1.68
WOLFE,337,83112,30.81,28329.69,92.29,3.37,0.43,1.27,1.21,1.43
HALE,338,82955,30.75,28360.44,83.99,11.17,0.46,1.19,1.59,1.60
LYONS,339,82258,30.49,28390.93,76.88,18.55,0.45,0.94,1.67,1.51
GRAVES,340,82179,30.46,28421.39,71.95,23.56,0.37,0.72,1.74,1.66
HAYNES,341,82037,30.41,28451.80,63.72,32.01,0.30,0.56,1.71,1.70
MILES,342,81933,30.37,28482.18,63.61,31.80,0.43,0.81,1.76,1.59
PARK,343,81890,30.36,28512.53,30.06,0.82,66.30,0.20,1.77,0.85
WARNER,344,81824,30.33,28542.87,86.32,9.69,0.51,0.61,1.40,1.48
PADILLA,345,81805,30.32,28573.19,6.94,0.34,2.07,1.00,0.64,88.99
BUSH,346,81524,30.22,28603.41,74.14,21.49,0.52,0.78,1.53,1.55
THORNTON,347,81191,30.10,28633.51,69.33,26.53,0.37,0.66,1.80,1.31
MCCARTHY,348,81035,30.04,28663.55,93.90,2.78,0.54,0.26,1.12,1.41
MANN,349,81022,30.03,28693.58,83.10,9.68,2.41,1.28,1.73,1.81
ZIMMERMAN,350,80944,30.01,28723.59,94.81,2.27,0.43,0.27,0.97,1.25
ERICKSON,351,80936,30.00,28753.59,96.39,0.24,0.50,0.54,1.08,1.26
FLETCHER,352,80932,30.00,28783.59,75.52,19.92,0.47,0.73,1.69,1.68
MCKINNEY,353,80616,29.88,28813.48,71.57,24.31,0.29,0.80,1.68,1.35
PAGE,354,80493,29.84,28843.31,77.16,18.66,0.48,0.54,1.43,1.73
DAWSON,355,80190,29.73,28873.04,70.48,25.22,0.48,0.51,1.72,1.59
JOSEPH,356,80030,29.67,28902.71,35.48,48.84,6.91,1.09,5.31,2.37
MARQUEZ,357,79951,29.64,28932.35,5.69,0.56,2.79,0.48,0.64,89.84
REEVES,358,79817,29.59,28961.93,79.79,15.66,0.46,0.70,1.64,1.75
KLEIN,359,79685,29.54,28991.47,96.53,0.30,0.40,0.23,1.05,1.49
ESPINOZA,360,79322,29.40,29020.88,4.38,0.25,0.37,0.41,0.31,94.29
BALDWIN,361,79151,29.34,29050.22,79.12,16.51,0.41,0.90,1.44,1.62
MORAN,362,78546,29.12,29079.33,71.43,2.44,0.55,0.82,1.04,23.71
LOVE,363,78323,29.03,29108.37,59.30,36.26,0.45,0.56,1.86,1.58
ROBBINS,364,78141,28.97,29137.34,89.09,7.03,0.41,0.80,1.36,1.30
HIGGINS,365,78107,28.95,29166.29,85.92,10.27,0.41,0.51,1.37,1.52
BALL,366,77561,28.75,29195.04,84.53,11.70,0.43,0.50,1.17,1.66
CORTEZ,367,77492,28.73,29223.77,7.03,0.72,2.79,0.33,0.58,88.54
LE,368,77453,28.71,29252.48,1.83,0.29,95.15,0.03,2.13,0.56
GRIFFITH,369,77429,28.70,29281.18,85.82,9.80,0.37,0.66,1.62,1.74
BOWEN,370,77078,28.57,29309.75,84.52,11.06,0.41,0.69,1.59,1.73
SHARP,371,76868,28.49,29338.25,85.12,10.50,0.45,0.95,1.40,1.58
CUMMINGS,372,76707,28.44,29366.68,75.47,18.38,0.68,2.15,1.84,1.49
RAMSEY,373,76625,28.40,29395.09,79.54,16.13,0.34,0.67,1.64,1.68
HARDY,374,76608,28.40,29423.49,63.67,31.73,0.39,1.10,1.65,1.45
SWANSON,375,76539,28.37,29451.86,92.01,4.59,0.55,0.40,1.09,1.36
BARBER,376,76504,28.36,29480.22,77.88,17.40,0.55,0.99,1.60,1.57
ACOSTA,377,76477,28.35,29508.57,8.04,0.69,2.36,0.29,0.63,87.99
LUNA,378,76127,28.22,29536.79,9.78,0.37,2.00,0.58,0.70,86.58
CHANDLER,379,76114,28.22,29565.00,76.77,19.11,0.50,0.55,1.59,1.48
BLAIR,380,75135,27.85,29592.86,82.13,13.52,0.47,0.61,1.68,1.59
DANIEL,380,75135,27.85,29620.71,67.02,24.05,2.12,0.58,1.95,4.27
CROSS,382,75134,27.85,29648.56,77.68,17.63,0.41,0.90,1.73,1.66
SIMON,383,74839,27.74,29676.30,69.94,20.95,1.98,0.65,1.83,4.66
DENNIS,384,74784,27.72,29704.03,68.50,26.49,0.44,0.72,1.83,2.03
OCONNOR,385,74756,27.71,29731.74,94.75,1.74,0.58,0.25,1.10,1.58
QUINN,386,74531,27.63,29759.37,88.13,7.91,0.52,0.45,1.26,1.73
GROSS,387,74285,27.54,29786.90,86.61,9.85,0.41,0.31,1.15,1.67
NAVARRO,388,73970,27.42,29814.32,7.90,0.45,4.10,0.27,0.71,86.57
MOSS,389,73750,27.34,29841.66,71.87,24.11,0.37,0.71,1.48,1.46
FITZGERALD,390,73522,27.25,29868.92,88.03,8.44,0.49,0.32,1.28,1.43
DOYLE,391,73518,27.25,29896.17,90.74,5.37,0.46,0.53,1.31,1.60
MCLAUGHLIN,392,73128,27.11,29923.28,89.65,6.73,0.42,0.47,1.17,1.55
ROJAS,393,73071,27.09,29950.37,4.77,0.43,0.85,0.21,0.44,93.31
RODGERS,394,73021,27.07,29977.43,72.92,22.64,0.42,0.63,1.62,1.76
STEVENSON,395,72892,27.02,30004.45,65.79,29.69,0.45,0.51,1.79,1.76
SINGH,396,72642,26.93,30031.38,3.51,3.09,74.44,1.01,15.30,2.65
YANG,397,72627,26.92,30058.31,0.95,0.13,95.03,0.04,3.49,0.35
FIGUEROA,398,72533,26.89,30085.19,5.46,0.93,0.99,0.24,0.52,91.86
HARMON,399,72414,26.84,30112.04,80.01,15.95,0.39,0.77,1.51,1.38
NEWTON,400,72328,26.81,30138.85,77.90,17.74,0.44,0.72,1.56,1.64
PAUL,401,72248,26.78,30165.63,73.80,16.16,3.63,1.94,2.60,1.87
MANNING,402,72069,26.72,30192.35,76.64,19.14,0.42,0.83,1.41,1.55
GARNER,403,72052,26.71,30219.06,74.14,21.99,0.37,0.59,1.51,1.40
MCGEE,404,71925,26.66,30245.72,64.94,30.69,0.35,0.62,1.81,1.60
REESE,405,71754,26.60,30272.32,68.17,27.73,0.35,0.59,1.49,1.66
FRANCIS,406,71723,26.59,30298.90,63.89,27.57,1.30,2.08,2.44,2.72
BURGESS,407,71604,26.54,30325.45,77.77,17.43,0.56,1.02,1.75,1.48
ADKINS,408,71528,26.52,30351.96,88.92,7.52,0.28,0.87,1.26,1.15
GOODMAN,409,71482,26.50,30378.46,80.66,15.12,0.43,0.97,1.25,1.58
CURRY,410,71344,26.45,30404.91,61.73,34.25,0.42,0.42,1.68,1.51
BRADY,411,71175,26.38,30431.29,89.02,6.56,0.46,0.86,1.24,1.86
CHRISTENSEN,412,71144,26.37,30457.67,95.86,0.27,0.51,0.62,1.13,1.61
POTTER,413,71103,26.36,30484.02,90.33,5.19,0.47,0.78,1.52,1.70
WALTON,414,70997,26.32,30510.34,62.56,33.54,0.32,0.47,1.67,1.44
GOODWIN,415,70333,26.07,30536.41,78.97,16.82,0.41,0.82,1.55,1.42
MULLINS,416,70286,26.05,30562.47,89.92,6.75,0.30,0.60,1.25,1.17
MOLINA,417,70211,26.03,30588.50,6.60,0.46,2.34,0.85,0.62,89.13
WEBSTER,418,70123,25.99,30614.49,76.16,18.51,0.48,1.34,1.88,1.64
FISCHER,419,70095,25.98,30640.47,95.71,0.86,0.45,0.35,1.08,1.55
CAMPOS,420,69950,25.93,30666.40,7.55,0.30,1.50,0.25,0.85,89.55
AVILA,421,69843,25.89,30692.30,8.33,0.40,0.94,0.26,0.64,89.43
SHERMAN,422,69840,25.89,30718.18,84.91,10.90,0.46,0.91,1.35,1.48
TODD,423,69810,25.88,30744.06,82.81,12.95,0.47,0.61,1.59,1.58
CHANG,424,69756,25.86,30769.92,2.28,0.94,90.13,0.02,3.69,2.94
BLAKE,425,69279,25.68,30795.60,74.04,21.11,0.42,0.78,1.78,1.86
MALONE,426,69257,25.67,30821.28,69.80,26.01,0.43,0.64,1.58,1.54
WOLF,427,68905,25.54,30846.82,94.96,1.04,0.48,0.97,1.15,1.40
HODGES,428,68868,25.53,30872.35,75.92,19.89,0.42,0.46,1.56,1.75
JUAREZ,429,68785,25.50,30897.85,4.08,0.22,0.43,0.23,0.32,94.72
GILL,430,68699,25.47,30923.31,70.90,14.15,8.35,0.53,2.28,3.79
FARMER,431,68309,25.32,30948.64,79.01,16.88,0.34,0.99,1.42,1.35
HINES,432,68145,25.26,30973.90,60.48,35.62,0.38,0.46,1.56,1.49
GALLAGHER,433,68075,25.24,30999.13,96.08,0.58,0.46,0.25,1.02,1.61
DURAN,434,68046,25.22,31024.36,11.58,0.56,1.09,0.93,0.68,85.17
HUBBARD,435,68021,25.22,31049.57,73.47,22.20,0.34,0.93,1.67,1.39
CANNON,436,67923,25.18,31074.75,72.24,23.73,0.38,0.54,1.60,1.50
MIRANDA,437,67646,25.08,31099.83,14.34,0.97,4.08,0.57,1.83,78.20
WANG,438,67570,25.05,31124.87,3.25,0.19,94.47,0.03,1.73,0.33
SAUNDERS,439,67210,24.91,31149.79,69.67,25.59,0.44,0.75,1.90,1.65
TATE,440,67208,24.91,31174.70,58.16,37.54,0.47,0.73,1.72,1.38
MACK,441,67154,24.89,31199.60,47.35,48.38,0.60,0.56,1.74,1.37
HAMMOND,442,67063,24.86,31224.46,80.78,15.11,0.43,0.82,1.52,1.34
CARRILLO,443,67054,24.86,31249.31,6.04,0.27,0.73,0.47,0.39,92.10
TOWNSEND,444,66853,24.78,31274.10,70.59,25.03,0.43,0.75,1.62,1.59
WISE,445,66738,24.74,31298.83,80.67,14.97,0.50,0.65,1.54,1.68
INGRAM,446,66665,24.71,31323.55,63.69,32.14,0.31,0.54,1.76,1.56
BARTON,447,66622,24.70,31348.24,87.13,7.55,0.43,1.43,1.38,2.08
MEJIA,448,66534,24.66,31372.91,3.99,0.49,1.44,0.28,0.55,93.25
AYALA,449,66515,24.66,31397.56,4.77,0.57,0.48,0.23,0.45,93.51
SCHROEDER,450,66412,24.62,31422.18,96.74,0.23,0.48,0.39,0.86,1.30
HAMPTON,451,66378,24.61,31446.79,56.28,39.52,0.34,0.65,1.88,1.33
ROWE,452,66205,24.54,31471.33,82.19,13.53,0.51,0.56,1.56,1.65
PARSONS,453,66203,24.54,31495.87,92.71,3.39,0.41,0.57,1.41,1.51
FRANK,454,65918,24.44,31520.31,86.69,7.38,0.70,2.10,1.34,1.78
WATERS,455,65817,24.40,31544.71,75.27,20.52,0.37,0.79,1.54,1.51
STRICKLAND,456,65814,24.40,31569.10,78.49,16.14,0.36,2.16,1.53,1.32
OSBORNE,457,65802,24.39,31593.50,83.98,11.98,0.38,0.63,1.59,1.44
MAXWELL,458,65779,24.38,31617.88,75.79,19.66,0.43,0.59,1.70,1.82
CHAN,459,65719,24.36,31642.24,2.72,0.54,91.01,0.04,2.82,2.87
DELEON,460,65598,24.32,31666.56,7.55,1.06,8.29,0.23,0.93,81.94
NORMAN,461,65269,24.20,31690.75,71.58,24.13,0.42,0.61,1.71,1.54
HARRINGTON,462,65131,24.14,31714.90,83.92,11.97,0.53,0.59,1.49,1.51
CASEY,463,64815,24.03,31738.92,88.51,7.25,0.49,0.66,1.60,1.50
PATTON,464,64772,24.01,31762.94,75.56,20.18,0.39,0.78,1.62,1.48
LOGAN,465,64576,23.94,31786.87,67.08,27.10,0.56,1.06,2.05,2.15
BOWERS,466,64496,23.91,31810.78,85.34,10.94,0.38,0.50,1.34,1.50
MUELLER,467,64305,23.84,31834.62,96.96,0.23,0.48,0.18,0.91,1.24
GLOVER,468,64180,23.79,31858.41,54.91,40.96,0.36,0.40,1.90,1.47
FLOYD,469,64141,23.78,31882.19,67.94,28.30,0.31,0.57,1.59,1.28
HARTMAN,470,63827,23.66,31905.85,95.42,1.50,0.44,0.38,1.05,1.20
BUCHANAN,471,63825,23.66,31929.51,79.92,15.91,0.48,0.56,1.57,1.57
COBB,472,63739,23.63,31953.14,72.07,24.24,0.35,0.65,1.48,1.20
FRENCH,473,63149,23.41,31976.55,87.74,7.65,0.49,1.04,1.56,1.52
KRAMER,474,63023,23.36,31999.91,96.47,0.28,0.46,0.25,1.08,1.46
MCCORMICK,475,62663,23.23,32023.14,89.10,7.24,0.41,0.43,1.30,1.52
CLARKE,476,62546,23.19,32046.32,66.14,28.18,0.52,0.40,2.29,2.46
TYLER,477,62534,23.18,32069.50,64.08,30.74,0.43,1.37,1.80,1.58
GIBBS,478,62514,23.17,32092.68,67.84,27.75,0.39,0.70,1.75,1.57
MOODY,479,62344,23.11,32115.79,72.99,22.54,0.37,0.80,1.57,1.73
CONNER,480,62335,23.11,32138.90,80.81,15.41,0.38,0.51,1.44,1.44
SPARKS,481,62234,23.07,32161.97,85.92,10.00,0.40,0.73,1.56,1.39
MCGUIRE,482,62116,23.03,32184.99,89.56,6.19,0.53,0.51,1.51,1.70
LEON,483,62034,23.00,32207.99,13.02,3.02,1.16,0.45,0.71,81.65
BAUER,484,61979,22.98,32230.96,96.34,0.34,0.45,0.33,0.98,1.56
NORTON,485,61805,22.91,32253.87,89.66,6.08,0.43,1.09,1.34,1.41
POPE,486,61750,22.89,32276.76,72.86,23.12,0.36,0.59,1.61,1.45
FLYNN,487,61747,22.89,32299.65,93.64,2.80,0.48,0.56,1.07,1.46
HOGAN,488,61651,22.85,32322.51,82.38,13.86,0.41,0.47,1.27,1.61
ROBLES,489,61619,22.84,32345.35,5.88,0.51,2.05,0.44,0.53,90.58
SALINAS,490,61582,22.83,32368.18,5.68,0.20,0.98,0.25,0.39,92.50
YATES,491,61400,22.76,32390.94,82.61,13.29,0.44,0.63,1.46,1.57
LINDSEY,492,61199,22.69,32413.62,70.65,24.56,0.74,0.60,1.96,1.49
LLOYD,493,61154,22.67,32436.29,74.91,21.15,0.47,0.41,1.56,1.49
MARSH,494,60999,22.61,32458.91,85.01,11.32,0.42,0.50,1.41,1.34
MCBRIDE,495,60874,22.57,32481.47,76.51,19.02,0.38,0.81,1.54,1.73
OWEN,496,60461,22.41,32503.89,93.36,2.37,0.55,0.87,1.28,1.58
SOLIS,497,60045,22.26,32526.14,5.86,0.45,1.57,0.20,0.42,91.50
PHAM,498,59949,22.22,32548.37,1.31,0.18,95.86,0.06,1.98,0.63
LANG,499,59843,22.18,32570.55,84.16,9.90,2.34,0.56,1.41,1.63
PRATT,500,59801,22.17,32592.72,80.27,14.77,0.53,1.03,1.63,1.77
LARA,501,59731,22.14,32614.86,6.28,0.42,1.07,0.36,0.56,91.30
BROCK,502,59682,22.12,32636.98,85.02,11.18,0.33,0.68,1.43,1.36
BALLARD,503,59660,22.12,32659.10,77.29,18.46,0.29,0.87,1.58,1.51
TRUJILLO,504,59609,22.10,32681.20,9.07,0.20,0.22,1.86,0.59,88.07
SHAFFER,505,59227,21.96,32703.15,94.61,2.20,0.40,0.36,1.17,1.27
DRAKE,506,59055,21.89,32725.04,81.84,14.21,0.41,0.64,1.49,1.41
ROMAN,507,59020,21.88,32746.92,25.56,1.98,0.94,0.17,0.72,70.64
AGUIRRE,508,58918,21.84,32768.76,6.28,0.28,1.19,0.26,0.46,91.52
MORTON,509,58788,21.79,32790.56,75.94,19.46,0.51,0.77,1.76,1.57
STOKES,510,58687,21.76,32812.31,60.78,35.09,0.33,0.44,1.71,1.64
LAMB,511,58555,21.71,32834.02,87.41,8.45,0.58,0.57,1.37,1.63
PACHECO,512,58534,21.70,32855.72,18.19,0.50,1.18,0.90,1.52,77.71
PATRICK,513,58257,21.60,32877.31,76.02,19.40,0.51,1.01,1.61,1.45
COCHRAN,514,58233,21.59,32898.90,87.03,8.61,0.36,1.23,1.35,1.42
SHEPHERD,515,57935,21.48,32920.37,80.98,14.74,0.38,1.01,1.55,1.34
CAIN,516,57873,21.45,32941.83,80.07,15.95,0.49,0.66,1.48,1.36
BURNETT,517,57859,21.45,32963.28,72.77,22.70,0.39,0.79,1.88,1.48
HESS,518,57822,21.43,32984.71,95.94,0.86,0.48,0.42,1.03,1.27
LI,519,57786,21.42,33006.13,1.28,0.12,96.44,0.01,1.40,0.75
CERVANTES,520,57685,21.38,33027.51,3.96,0.12,0.85,0.26,0.32,94.49
OLSEN,521,57357,21.26,33048.78,95.28,0.28,0.64,0.73,1.36,1.70
BRIGGS,522,57297,21.24,33070.02,77.89,17.99,0.43,0.61,1.64,1.44
OCHOA,523,57210,21.21,33091.22,5.18,0.33,0.63,0.41,0.28,93.17
CABRERA,524,57171,21.19,33112.42,5.48,0.45,3.56,0.16,0.64,89.71
VELASQUEZ,525,57163,21.19,33133.61,5.34,0.57,1.74,0.59,0.51,91.26
MONTOYA,526,57075,21.16,33154.76,8.74,0.24,0.83,1.66,0.74,87.78
ROTH,527,57030,21.14,33175.91,96.27,0.46,0.72,0.24,0.99,1.33
MEYERS,528,56744,21.03,33196.94,91.17,4.49,0.67,0.65,1.39,1.64
CARDENAS,529,56618,20.99,33217.93,5.14,0.29,1.04,0.16,0.41,92.96
FUENTES,530,56441,20.92,33238.85,5.76,0.49,1.47,0.27,0.49,91.52
WEISS,531,56153,20.82,33259.67,96.45,0.36,0.47,0.19,1.08,1.46
HOOVER,532,56068,20.78,33280.45,93.27,3.25,0.40,0.63,1.22,1.24
WILKINS,532,56068,20.78,33301.24,65.20,30.04,0.34,0.88,1.81,1.72
NICHOLSON,534,55986,20.75,33321.99,77.00,18.74,0.41,0.60,1.63,1.62
UNDERWOOD,535,55973,20.75,33342.74,81.00,14.49,0.37,1.07,1.62,1.44
SHORT,536,55903,20.72,33363.46,85.71,9.93,0.50,0.91,1.51,1.44
CARSON,537,55821,20.69,33384.15,74.27,21.14,0.53,0.66,1.75,1.65
MORROW,538,55664,20.63,33404.79,81.58,14.32,0.44,0.68,1.56,1.42
COLON,539,55512,20.58,33425.37,7.90,2.07,0.28,0.14,0.57,89.03
HOLLOWAY,540,55466,20.56,33445.93,60.73,35.27,0.31,0.54,1.84,1.30
SUMMERS,541,55391,20.53,33466.46,80.58,14.48,0.50,1.13,1.68,1.63
BRYAN,542,55269,20.49,33486.95,84.48,10.23,0.50,0.68,1.72,2.40
PETERSEN,543,55185,20.46,33507.41,95.15,1.14,0.62,0.39,1.10,1.60
MCKENZIE,544,55084,20.42,33527.83,68.68,26.14,0.55,0.73,1.95,1.94
SERRANO,545,55057,20.41,33548.24,6.33,0.75,2.84,0.20,0.59,89.29
WILCOX,546,54987,20.38,33568.62,85.79,9.94,0.48,0.79,1.43,1.56
CAREY,547,54924,20.36,33588.98,83.21,12.75,0.43,0.64,1.53,1.43
CLAYTON,548,54875,20.34,33609.32,71.44,24.56,0.38,0.50,1.78,1.35
POOLE,549,54706,20.28,33629.60,74.92,21.82,0.37,0.36,1.45,1.08
CALDERON,550,54691,20.27,33649.87,5.92,0.67,1.67,0.19,0.45,91.10
GALLEGOS,551,54672,20.27,33670.14,8.34,0.15,0.46,0.61,0.53,89.90
GREER,552,54611,20.24,33690.38,75.62,20.62,0.35,0.44,1.49,1.47
RIVAS,553,54588,20.24,33710.62,5.82,0.61,0.40,0.33,0.40,92.43
GUERRA,554,54575,20.23,33730.85,12.73,0.74,0.51,0.56,0.59,84.87
DECKER,555,54450,20.18,33751.04,95.37,0.82,0.41,0.60,1.15,1.65
COLLIER,556,54414,20.17,33771.21,69.60,26.48,0.37,0.52,1.79,1.24
WALL,557,54401,20.17,33791.37,87.80,8.00,0.48,0.77,1.35,1.59
WHITAKER,558,54343,20.14,33811.52,73.40,23.20,0.34,0.42,1.40,1.25
BASS,559,54296,20.13,33831.65,71.82,23.74,0.39,0.63,1.76,1.66
FLOWERS,560,54277,20.12,33851.77,55.93,39.22,0.32,0.53,2.05,1.94
DAVENPORT,561,54206,20.09,33871.86,73.94,21.72,0.41,0.74,1.72,1.49
CONLEY,562,54194,20.09,33891.95,81.47,15.09,0.35,0.50,1.36,1.22
HOUSTON,563,54026,20.03,33911.98,54.63,40.92,0.42,0.56,1.97,1.50
HUFF,564,53892,19.98,33931.95,82.89,13.11,0.40,0.69,1.48,1.43
COPELAND,565,53771,19.93,33951.89,68.57,27.32,0.34,0.63,1.69,1.45
HOOD,566,53737,19.92,33971.81,76.59,19.08,0.40,1.01,1.59,1.33
MONROE,567,53475,19.82,33991.63,65.22,28.87,0.42,1.44,1.77,2.29
MASSEY,568,53459,19.82,34011.45,75.41,19.77,0.80,0.94,1.61,1.46
ROBERSON,569,53198,19.72,34031.17,53.85,42.11,0.28,0.59,1.88,1.29
COMBS,570,53180,19.71,34050.88,87.37,9.01,0.36,0.54,1.42,1.29
FRANCO,571,53161,19.71,34070.59,19.29,0.55,1.76,0.36,0.88,77.16
LARSEN,572,52963,19.63,34090.22,95.64,0.43,0.55,0.62,1.23,1.53
PITTMAN,573,52689,19.53,34109.75,66.35,30.00,0.28,0.61,1.54,1.21
RANDALL,574,52495,19.46,34129.21,76.37,18.86,0.46,1.09,1.64,1.58
SKINNER,575,52490,19.46,34148.67,81.40,14.45,0.40,0.63,1.44,1.68
WILKINSON,576,52483,19.46,34168.13,89.87,6.25,0.53,0.58,1.31,1.47
KIRBY,577,52473,19.45,34187.58,87.47,8.78,0.40,0.66,1.40,1.29
CAMERON,578,52439,19.44,34207.02,77.87,17.02,0.56,0.67,1.68,2.20
BRIDGES,579,52260,19.37,34226.39,70.46,25.54,0.37,0.52,1.67,1.45
ANTHONY,580,52146,19.33,34245.72,63.43,30.43,1.10,0.62,1.84,2.59
RICHARD,581,52138,19.33,34265.05,73.19,22.09,0.61,0.52,1.64,1.94
KIRK,582,52056,19.30,34284.34,84.75,10.42,0.41,1.30,1.69,1.44
BRUCE,583,52004,19.28,34303.62,79.85,14.99,0.53,1.02,1.73,1.87
SINGLETON,584,51797,19.20,34322.82,48.33,48.12,0.27,0.33,1.70,1.25
MATHIS,585,51796,19.20,34342.02,64.71,31.54,0.21,0.60,1.53,1.42
BRADFORD,586,51726,19.17,34361.20,67.27,28.47,0.35,0.60,1.72,1.60
BOONE,587,51679,19.16,34380.35,64.33,30.61,0.43,1.37,1.67,1.59
ABBOTT,588,51620,19.14,34399.49,91.00,4.56,0.49,0.69,1.46,1.80
CHARLES,589,51518,19.10,34418.59,38.87,47.28,0.80,2.05,3.71,7.28
ALLISON,590,51504,19.09,34437.68,83.01,12.22,0.45,1.23,1.57,1.52
SWEENEY,591,51500,19.09,34456.77,92.12,4.37,0.44,0.44,1.06,1.57
ATKINSON,592,51489,19.09,34475.86,81.73,13.00,0.41,0.54,1.35,2.97
HORN,593,51380,19.05,34494.90,86.75,8.31,0.84,1.16,1.46,1.48
JEFFERSON,594,51361,19.04,34513.94,18.72,75.24,0.25,1.85,2.38,1.57
ROSALES,595,51336,19.03,34532.97,4.19,0.35,2.55,0.24,0.44,92.23
YORK,596,51334,19.03,34552.00,87.72,7.69,0.60,0.93,1.45,1.61
CHRISTIAN,597,51177,18.97,34570.97,69.69,23.45,1.77,0.58,1.85,2.66
PHELPS,598,51154,18.96,34589.94,86.82,9.28,0.43,0.58,1.43,1.45
FARRELL,599,51095,18.94,34608.88,91.91,4.33,0.50,0.48,1.16,1.63
CASTANEDA,600,51089,18.94,34627.82,4.45,0.19,1.99,0.28,0.48,92.61
NASH,601,51021,18.91,34646.73,72.24,23.53,0.48,0.72,1.67,1.35
DICKERSON,602,51017,18.91,34665.64,65.09,30.91,0.33,0.43,1.87,1.38
BOND,603,50980,18.90,34684.54,78.18,17.05,0.57,0.83,1.75,1.62
WYATT,604,50874,18.86,34703.40,77.88,17.93,0.34,0.55,1.50,1.80
FOLEY,605,50852,18.85,34722.25,93.60,3.27,0.54,0.26,1.02,1.32
CHASE,606,50777,18.82,34741.07,83.65,10.98,0.52,1.60,1.55,1.70
GATES,607,50748,18.81,34759.88,77.13,18.66,0.48,0.71,1.49,1.52
VINCENT,608,50628,18.77,34778.65,82.26,12.05,0.94,0.60,1.83,2.33
MATHEWS,609,50608,18.76,34797.41,76.90,15.77,2.81,0.62,1.80,2.10
HODGE,610,50577,18.75,34816.16,71.10,24.27,0.38,0.62,1.73,1.89
GARRISON,611,50482,18.71,34834.87,85.31,10.45,0.40,0.72,1.50,1.62
TREVINO,612,50454,18.70,34853.58,7.41,0.22,0.17,0.49,0.38,91.33
VILLARREAL,613,50351,18.66,34872.24,6.57,0.16,0.18,0.22,0.34,92.53
HEATH,614,50307,18.65,34890.89,82.73,13.48,0.40,0.62,1.29,1.49
DALTON,615,50166,18.60,34909.49,88.39,7.51,0.40,0.69,1.35,1.66
VALENCIA,616,50026,18.54,34928.03,5.89,0.54,3.58,1.39,0.58,88.02
CALLAHAN,617,49925,18.51,34946.54,91.29,5.10,0.42,0.52,1.21,1.45
HENSLEY,618,49858,18.48,34965.02,94.24,1.61,0.34,0.93,1.39,1.49
ATKINS,619,49754,18.44,34983.46,70.28,25.51,0.39,0.56,1.82,1.44
HUFFMAN,620,49737,18.44,35001.90,92.88,3.92,0.33,0.54,1.13,1.20
ROY,621,49725,18.43,35020.33,79.90,9.25,5.58,1.62,1.80,1.85
BOYER,622,49601,18.39,35038.72,90.58,4.93,0.52,0.61,1.40,1.95
SHIELDS,623,49556,18.37,35057.09,78.28,17.26,0.42,1.03,1.53,1.47
LIN,624,49360,18.30,35075.39,2.29,0.13,95.13,0.03,2.02,0.40
HANCOCK,625,49330,18.29,35093.68,88.67,7.61,0.36,0.56,1.40,1.41
GRIMES,626,49245,18.25,35111.93,77.42,18.51,0.30,0.56,1.60,1.61
GLENN,627,49241,18.25,35130.18,63.64,32.18,0.36,0.60,1.62,1.61
CLINE,628,49167,18.23,35148.41,94.18,2.10,0.35,0.81,1.16,1.40
DELACRUZ,629,49158,18.22,35166.63,4.54,0.47,18.24,0.26,1.63,74.85
CAMACHO,630,49000,18.16,35184.80,7.13,0.57,2.77,0.22,0.88,88.43
DILLON,631,48833,18.10,35202.90,86.04,9.08,0.79,1.00,1.36,1.73
